DateTime,Bat_V,BarometricPress_kPa,BarometricPress_kPa_Flag,RelativeHum_%,RelativeHum_%_Flag,WindDir_Degree,WindDir_Degree_Flag,WindSp_km/h,WindSp_km/h_Flag,DailyRain_mm,DailyRain_mm_Flag,AirTemp_C,AirTemp_C_Flag,PARAir_umol/s/m2,PARAir_umol/s/m2_Flag,PARW1_umol/s/m2,PARW1_umol/s/m2_Flag,PARW2_umol/s/m2,PARW2_umol/s/m2_Flag,TempShallow_C,TempShallow_C_Flag,pHShallow,pHShallow_Flag,pHmVShallow_mV,pHmVShallow_mV_Flag,ODOSatShallow_%,ODOSatShallow_%_Flag,ODOShallow_mg/L,ODOShallow_mg/L_Flag,SpCondShallow_uS/cm,SpCondShallow_uS/cm_Flag,SpCondShallowRaw_uS/cm,SpCondShallowRaw_uS/cm_Flag,TurbShallow_NTU+,TurbShallow_NTU+_Flag,ChlRFUShallow_RFU,ChlRFUShallow_RFU_Flag,BGPCShallowRFU_RFU,BGPCShallowRFU_RFU_Flag,TempDeep_C,TempDeep_C_Flag,pHDeep,pHDeep_Flag,pHmVDeep_mV,pHmVDeep_mV_Flag,ODODeep_mg/L,ODODeep_mg/L_Flag,ODOSatDeep_%,ODOSatDeep_%_Flag,SpCondDeep_uS/cm,SpCondDeep_uS/cm_Flag,SpCondDeepRaw_uS/cm,SpCondDeepRaw_uS/cm_Flag,ChlorophyllRFUDeep_RFU,ChlorophyllRFUDeep_RFU_Flag,BGPCDeepRFU_RFU,BGPCDeepRFU_RFU_Flag,Temp00_C,Temp00_C_Flag,Temp01_C,Temp01_C_Flag,Temp02_C,Temp02_C_Flag,Temp03_C,Temp03_C_Flag,Temp04_C,Temp04_C_Flag,Year
2021-05-31 20:20:00,12.2,95.5,,20.0,,217.0,,20.8,,0.0,,24.78,,450.0,,147.0,,111.0,,14.26,,8.7,,-100.8,,107.1,,10.96,,516.0,,516.0,,2.4,,0.0,,1.4,,14.2,,,C,,C,11.02,,107.6,,517.3,,517.3,,1.25,,0.96,,14.48,,14.38,,14.36,,14.39,,14.3,,2021
2021-05-31 20:30:00,12.2,95.5,,24.0,,216.0,,12.2,,0.0,,24.28,,404.0,,151.0,,107.0,,14.27,,8.7,,-100.9,,107.1,,10.96,,516.0,,516.0,,2.5,,0.4,,1.4,,14.199,,,C,,C,11.03,,107.6,,517.0,,517.0,,1.25,,0.95,,14.49,,14.39,,14.38,,14.38,,14.32,,2021
2021-05-31 20:40:00,12.2,95.5,,21.0,,223.0,,21.2,,0.0,,24.78,,323.0,,162.0,,117.0,,14.27,,8.7,,-101.0,,107.2,,10.97,,516.0,,516.0,,2.4,,0.4,,1.4,,14.213,,,C,,C,11.05,,107.8,,517.3,,517.3,,1.27,,0.92,,14.5,,14.4,,14.38,,14.4,,14.33,,2021
2021-05-31 20:50:00,12.2,95.5,,20.0,,227.0,,23.8,,0.0,,24.78,,273.0,,126.0,,91.0,,14.26,,8.71,,-101.2,,107.4,,10.99,,516.0,,516.0,,3.5,,0.3,,1.3,,14.208,,,C,,C,11.04,,107.8,,517.2,,517.2,,1.32,,0.93,,14.5,,14.38,,14.37,,14.41,,14.34,,2021
2021-05-31 21:00:00,12.4,95.5,,23.0,,242.0,,12.2,,0.0,,24.78,,690.0,,155.0,,132.0,,14.27,,8.7,,-100.9,,107.3,,10.98,,516.0,,516.0,,2.4,,0.1,,1.7,,14.219,,,C,,C,11.04,,107.8,,517.1,,517.1,,1.3,,0.87,,14.54,,14.44,,14.39,,14.41,,14.34,,2021
2021-05-31 21:10:00,12.4,95.5,,22.0,,248.0,,26.4,,0.0,,24.67,,675.0,,182.0,,147.0,,14.32,,8.69,,-100.4,,107.5,,10.98,,516.0,,516.0,,2.3,,0.2,,1.1,,14.227,,,C,,C,11.05,,107.9,,517.1,,517.1,,1.26,,0.96,,14.56,,14.45,,14.4,,14.43,,14.34,,2021
2021-05-31 21:20:00,12.3,95.5,,23.0,,265.0,,20.4,,0.0,,24.39,,484.0,,145.0,,114.0,,14.33,,8.69,,-100.3,,107.4,,10.98,,515.0,,515.0,,2.3,,0.3,,1.2,,14.223,,,C,,C,11.02,,107.6,,516.9,,516.9,,1.32,,0.93,,14.54,,14.45,,14.41,,14.43,,14.36,,2021
2021-05-31 21:30:00,12.3,95.5,,28.0,,289.0,,15.1,,0.0,,23.5,,575.0,,146.0,,117.0,,14.32,,8.69,,-100.4,,107.4,,10.98,,515.0,,515.0,,2.3,,0.0,,1.2,,14.233,,,C,,C,11.05,,108.0,,516.9,,516.9,,1.29,,0.94,,14.56,,14.45,,14.41,,14.44,,14.38,,2021
2021-05-31 21:40:00,12.4,95.5,,22.0,,260.0,,25.6,,0.0,,24.39,,609.0,,129.0,,106.0,,14.33,,8.69,,-100.2,,107.1,,10.94,,515.0,,515.0,,2.3,,0.4,,1.0,,14.234,,,C,,C,11.04,,107.8,,516.9,,516.9,,1.27,,0.94,,14.57,,14.46,,14.45,,14.47,,14.36,,2021
2021-05-31 21:50:00,12.3,95.5,,26.0,,277.0,,23.5,,0.0,,23.67,,207.0,,78.0,,53.0,,14.33,,8.68,,-99.9,,107.3,,10.96,,515.0,,515.0,,2.3,,0.3,,1.3,,14.227,,,C,,C,11.02,,107.6,,516.9,,516.9,,1.27,,0.91,,14.57,,14.46,,14.43,,14.47,,14.39,,2021
2021-05-31 22:00:00,12.2,95.5,,27.0,,269.0,,19.5,,0.0,,23.28,,202.0,,66.0,,50.0,,14.32,,8.69,,-100.2,,107.0,,10.94,,514.0,,514.0,,2.2,,0.4,,1.3,,14.249,,,C,,C,11.01,,107.6,,516.5,,516.5,,1.25,,0.87,,14.55,,14.45,,14.44,,14.47,,14.39,,2021
2021-05-31 22:10:00,12.1,95.5,,28.0,,260.0,,15.9,,0.0,,22.89,,211.0,,95.0,,71.0,,14.32,,8.69,,-100.4,,107.1,,10.94,,515.0,,515.0,,2.4,,0.5,,1.2,,14.251,,,C,,C,10.99,,107.4,,516.8,,516.8,,1.46,,0.94,,14.54,,14.44,,14.42,,14.46,,14.4,,2021
2021-05-31 22:20:00,12.2,95.5,,30.0,,279.0,,9.2,,0.0,,22.78,,186.0,,94.0,,68.0,,14.32,,8.7,,-100.7,,107.1,,10.94,,515.0,,515.0,,2.4,,0.6,,1.2,,14.282,,,C,,C,11.02,,107.7,,516.3,,516.3,,1.25,,0.88,,14.54,,14.44,,14.43,,14.47,,14.42,,2021
2021-05-31 22:30:00,12.2,95.5,,46.0,,309.0,,7.7,,0.0,,20.17,,171.0,,91.0,,66.0,,14.32,,8.7,,-100.8,,107.2,,10.95,,515.0,,515.0,,2.4,,0.4,,1.3,,14.288,,,C,,C,11.01,,107.7,,516.2,,516.2,,1.3,,0.93,,14.55,,14.45,,14.44,,14.47,,14.42,,2021
2021-05-31 22:40:00,12.1,95.5,,48.0,,291.0,,7.9,,0.0,,19.78,,170.0,,88.0,,63.0,,14.33,,8.7,,-101.0,,107.3,,10.96,,515.0,,515.0,,2.4,,0.4,,1.3,,14.286,,,C,,C,11.01,,107.7,,516.2,,516.2,,1.35,,0.94,,14.56,,14.45,,14.44,,14.48,,14.42,,2021
2021-05-31 22:50:00,12.1,95.5,,47.0,,305.0,,6.6,,0.0,,19.28,,166.0,,86.0,,62.0,,14.32,,8.7,,-101.0,,107.1,,10.95,,515.0,,515.0,,2.3,,0.8,,1.3,,14.285,,,C,,C,10.98,,107.4,,516.0,,516.0,,1.32,,0.95,,14.57,,14.46,,14.45,,14.48,,14.42,,2021
