epoch,train_loss_z,train_loss_name,train_LY,train_LD,train_rho,val_rmse_chl,val_mae_chl,lr,seconds
1,0.000000,mse,nan,nan,nan,1.969363,1.401926,0.00050000,3.63
2,0.000000,mse,nan,nan,nan,1.969363,1.401926,0.00050000,3.05
3,0.000000,mse,nan,nan,nan,1.969363,1.401926,0.00050000,3.17
4,0.000000,mse,nan,nan,nan,1.969363,1.401926,0.00050000,3.21
5,0.000000,mse,nan,nan,nan,1.969363,1.401926,0.00025000,2.51
6,0.857368,mse,nan,nan,nan,1.959635,1.392517,0.00025000,2.71
7,0.801151,mse,nan,nan,nan,1.950485,1.383871,0.00025000,2.53
8,0.000000,mse,nan,nan,nan,1.950485,1.383871,0.00025000,2.17
9,0.837865,mse,nan,nan,nan,1.944017,1.377873,0.00025000,2.54
10,0.000000,mse,nan,nan,nan,1.944017,1.377873,0.00025000,3.03
