DateTime,daily_median_chl,tukey_daily_potential,tukey_daily_possible
2014-07-01,4.0,False,False
2014-07-02,4.9,False,False
2014-07-03,4.65,False,False
2014-07-04,5.1,False,False
2014-07-05,5.7,False,False
2014-07-06,4.75,False,False
2014-07-07,3.8,False,False
2014-07-08,3.6,False,False
2014-07-09,4.1,False,False
2014-07-10,3.7,False,False
2014-07-11,3.8,False,False
2014-07-12,4.0,False,False
2014-07-13,3.9,False,False
2014-07-14,3.75,False,False
2014-07-15,4.0,False,False
2014-07-16,4.25,False,False
2014-07-17,4.9,False,False
2014-07-18,4.7,False,False
2014-07-19,5.4,False,False
2014-07-20,5.8,False,False
2014-07-21,6.7,True,False
2014-07-22,6.3,False,False
2014-07-23,4.95,False,False
2014-07-24,5.2,False,False
2014-07-25,5.6,False,False
2014-07-26,5.7,False,False
2014-07-27,5.8,False,False
2014-07-28,6.3,False,False
2014-07-29,6.1,False,False
2014-07-30,5.6,False,False
2014-07-31,5.2,False,False
2014-08-01,5.2,False,False
2014-08-02,4.9,False,False
2014-08-03,5.25,False,False
2014-08-04,5.5,False,False
2014-08-05,5.5,False,False
2014-08-06,5.3,False,False
2014-08-07,5.4,False,False
2014-08-08,6.1,False,False
2014-08-09,5.2,False,False
2014-08-10,5.4,False,False
2014-08-11,6.1,False,False
2014-08-12,6.05,False,False
2014-08-13,4.8,False,False
2014-08-14,4.9,False,False
2014-08-15,5.2,False,False
2014-08-16,4.6,False,False
2014-08-17,4.5,False,False
2014-08-18,4.4,False,False
2014-08-19,4.4,False,False
2014-08-20,4.2,False,False
2014-08-26,3.8,False,False
2014-08-27,2.7,False,False
2014-08-28,2.3,False,False
2014-08-29,2.1,False,False
2014-08-30,1.7,False,False
2014-08-31,1.6,False,False
2015-06-01,1.9,False,False
2015-06-02,2.3,False,False
2015-06-03,2.4,False,False
2015-06-04,2.2,False,False
2015-06-05,2.0,False,False
2015-06-06,1.75,False,False
2015-06-07,1.6,False,False
2015-06-08,1.6,False,False
2015-06-09,1.35,False,False
2015-06-10,1.4,False,False
2015-06-11,1.4,False,False
2015-06-12,1.2,False,False
2015-06-13,1.5,False,False
2015-06-14,1.6,False,False
2015-06-15,1.2,False,False
2015-06-16,1.4,False,False
2015-06-17,1.5,False,False
2015-06-18,1.4,False,False
2015-06-19,1.2,False,False
2015-06-20,1.5,False,False
2015-06-21,2.0,False,False
2015-06-22,2.4,False,False
2015-06-23,2.4,False,False
2015-06-24,2.4,False,False
2015-06-25,2.8,False,False
2015-06-26,2.7,False,False
2015-06-27,2.6,False,False
2015-06-28,3.6,False,False
2015-06-29,4.7,True,False
2015-06-30,4.3,True,False
2015-07-01,3.1,False,False
2015-07-02,2.7,False,False
2015-07-03,3.5,False,False
2015-07-04,2.6,False,False
2015-07-05,2.2,False,False
2015-07-06,2.1,False,False
2015-07-07,1.75,False,False
2015-07-08,1.8,False,False
2015-07-09,1.4,False,False
2015-07-10,1.7,False,False
2015-07-11,1.4,False,False
2015-07-12,1.6,False,False
2015-07-13,2.0,False,False
2015-07-14,2.5,False,False
2015-07-15,2.5,False,False
2015-07-16,2.5,False,False
2015-07-17,2.2,False,False
2015-07-18,2.1,False,False
2015-07-19,2.9,False,False
2015-07-20,2.3,False,False
2015-07-21,2.2,False,False
2015-07-22,1.7,False,False
2015-07-23,2.6,False,False
2015-07-24,2.7,False,False
2015-07-25,2.7,False,False
2015-07-26,2.5,False,False
2015-07-29,2.8,False,False
2015-07-30,2.4,False,False
2015-07-31,2.7,False,False
2015-08-01,3.0,False,False
2015-08-02,2.9,False,False
2015-08-03,2.9,False,False
2015-08-04,2.6,False,False
2015-08-05,2.7,False,False
2015-08-06,2.7,False,False
2015-08-07,2.6,False,False
2015-08-08,2.3,False,False
2015-08-09,2.9,False,False
2015-08-10,2.7,False,False
2015-08-11,2.7,False,False
2015-08-12,2.8,False,False
2015-08-13,3.4,False,False
2015-08-14,3.2,False,False
2015-08-15,2.9,False,False
2015-08-16,2.5,False,False
2015-08-17,2.1,False,False
2015-08-18,2.5,False,False
2015-08-19,3.05,False,False
2015-08-20,2.5,False,False
2015-08-21,3.1,False,False
2015-08-22,2.8,False,False
2015-08-23,2.2,False,False
2015-08-24,3.0,False,False
2015-08-25,3.0,False,False
2015-08-26,2.9,False,False
2015-08-27,3.7,False,False
2015-08-28,3.9,False,False
2015-08-29,3.1,False,False
2015-08-30,3.9,False,False
2015-08-31,3.5,False,False
2016-06-01,1.0,False,False
2016-06-02,1.0,False,False
2016-06-03,1.1,False,False
2016-06-04,1.2,False,False
2016-06-05,1.2,False,False
2016-06-06,1.1,False,False
2016-06-07,1.0,False,False
2016-06-08,0.8,False,False
2016-06-09,0.8,False,False
2016-06-10,0.8,False,False
2016-06-11,0.9,False,False
2016-06-12,0.9,False,False
2016-06-13,0.9,False,False
2016-06-14,1.0,False,False
2016-06-15,0.7,False,False
2016-06-16,0.9,False,False
2016-06-17,0.9,False,False
2016-06-18,1.0,False,False
2016-06-19,1.1,False,False
2016-06-20,1.4,False,False
2016-06-21,1.5,False,False
2016-06-22,1.5,False,False
2016-06-23,1.3,False,False
2016-06-24,1.2,False,False
2016-06-25,1.4,False,False
2016-06-26,1.5,False,False
2016-06-27,1.6,False,False
2016-06-28,1.6,False,False
2016-06-29,1.5,False,False
2016-06-30,2.1,False,False
2016-07-01,2.3,False,False
2016-07-02,2.1,False,False
2016-07-03,2.2,False,False
2016-07-04,2.5,False,False
2016-07-05,2.5,False,False
2016-07-06,2.7,False,False
2016-07-07,2.6,False,False
2016-07-08,2.4,False,False
2016-07-09,2.5,False,False
2016-07-10,2.9,False,False
2016-07-11,2.6,False,False
2016-07-12,2.5,False,False
2016-07-13,2.5,False,False
2016-07-14,2.7,False,False
2016-07-15,3.05,False,False
2016-07-16,3.1,False,False
2016-07-17,2.7,False,False
2016-07-18,2.8,False,False
2016-07-19,2.4,False,False
2016-07-20,2.4,False,False
2016-07-21,2.2,False,False
2016-07-22,2.3,False,False
2016-07-23,2.1,False,False
2016-07-24,2.0,False,False
2016-07-25,1.9,False,False
2016-07-26,3.3,False,False
2016-07-27,2.8,False,False
2016-07-28,2.2,False,False
2016-07-29,1.9,False,False
2016-07-30,2.1,False,False
2016-07-31,1.9,False,False
2016-08-01,2.3,False,False
2016-08-02,2.4,False,False
2016-08-03,2.5,False,False
2016-08-04,2.4,False,False
2016-08-05,2.9,False,False
2016-08-06,2.9,False,False
2016-08-07,2.7,False,False
2016-08-08,3.0,False,False
2016-08-09,3.4,False,False
2016-08-10,3.1,False,False
2016-08-11,4.0,False,False
2016-08-12,3.25,False,False
2016-08-13,3.4,False,False
2016-08-14,3.5,False,False
2016-08-15,3.5,False,False
2016-08-16,3.0,False,False
2016-08-17,3.2,False,False
2016-08-18,3.1,False,False
2016-08-19,3.0,False,False
2016-08-20,3.3,False,False
2016-08-21,3.5,False,False
2016-08-22,4.2,False,False
2016-08-23,4.2,False,False
2016-08-24,4.1,False,False
2016-08-25,4.3,False,False
2016-08-26,3.9,False,False
2016-08-27,3.8,False,False
2016-08-28,3.1,False,False
2016-08-29,4.4,False,False
2016-08-30,3.9,False,False
2016-08-31,4.2,False,False
2016-09-01,4.3,False,False
2016-09-02,4.0,False,False
2016-09-03,4.9,False,False
2016-09-04,4.9,False,False
2016-09-05,4.7,False,False
2016-09-06,4.4,False,False
2016-09-07,4.45,False,False
2016-09-08,4.4,False,False
2016-09-09,4.3,False,False
2016-09-10,4.7,False,False
2016-09-11,4.2,False,False
2016-09-12,4.0,False,False
2016-09-13,4.0,False,False
2016-09-14,4.6,False,False
2016-09-15,4.25,False,False
2016-09-16,3.95,False,False
2016-09-17,3.4,False,False
2016-09-18,3.7,False,False
2016-09-19,4.4,False,False
2016-09-20,4.9,False,False
2016-09-21,5.4,False,False
2016-09-22,5.7,False,False
2016-09-23,5.8,False,False
2016-09-24,7.8,False,False
2016-09-25,6.8,False,False
2016-09-26,14.3,True,True
2016-09-27,17.700000000000003,True,True
2016-09-28,20.4,True,True
2017-06-01,2.6,False,False
2017-06-02,2.9,False,False
2017-06-03,3.1,False,False
