anchor_date,horizon_days,target_date,y_chl,y_anchor_chl,target_col_used
2014-07-01,1,2014-07-02,4.8,4.0,chl_daily_median
2014-07-01,2,2014-07-03,4.65,4.0,chl_daily_median
2014-07-01,3,2014-07-04,5.1,4.0,chl_daily_median
2014-07-01,5,2014-07-06,4.8,4.0,chl_daily_median
2014-07-01,7,2014-07-08,3.6,4.0,chl_daily_median
2014-07-01,10,2014-07-11,3.8,4.0,chl_daily_median
2014-07-01,14,2014-07-15,4.0,4.0,chl_daily_median
2014-07-01,21,2014-07-22,6.3,4.0,chl_daily_median
2014-07-01,28,2014-07-29,6.1,4.0,chl_daily_median
2014-07-01,30,2014-07-31,5.2,4.0,chl_daily_median
2014-07-02,1,2014-07-03,4.65,4.8,chl_daily_median
2014-07-02,2,2014-07-04,5.1,4.8,chl_daily_median
2014-07-02,3,2014-07-05,5.7,4.8,chl_daily_median
2014-07-02,5,2014-07-07,3.8,4.8,chl_daily_median
2014-07-02,7,2014-07-09,4.1,4.8,chl_daily_median
2014-07-02,10,2014-07-12,4.0,4.8,chl_daily_median
2014-07-02,14,2014-07-16,4.25,4.8,chl_daily_median
2014-07-02,21,2014-07-23,5.0,4.8,chl_daily_median
2014-07-02,28,2014-07-30,5.6,4.8,chl_daily_median
2014-07-02,30,2014-08-01,5.15,4.8,chl_daily_median
2014-07-03,1,2014-07-04,5.1,4.65,chl_daily_median
2014-07-03,2,2014-07-05,5.7,4.65,chl_daily_median
2014-07-03,3,2014-07-06,4.8,4.65,chl_daily_median
2014-07-03,5,2014-07-08,3.6,4.65,chl_daily_median
2014-07-03,7,2014-07-10,3.7,4.65,chl_daily_median
2014-07-03,10,2014-07-13,3.9,4.65,chl_daily_median
2014-07-03,14,2014-07-17,4.8,4.65,chl_daily_median
2014-07-03,21,2014-07-24,5.2,4.65,chl_daily_median
2014-07-03,28,2014-07-31,5.2,4.65,chl_daily_median
2014-07-03,30,2014-08-02,4.9,4.65,chl_daily_median
2014-07-04,1,2014-07-05,5.7,5.1,chl_daily_median
2014-07-04,2,2014-07-06,4.8,5.1,chl_daily_median
2014-07-04,3,2014-07-07,3.8,5.1,chl_daily_median
2014-07-04,5,2014-07-09,4.1,5.1,chl_daily_median
2014-07-04,7,2014-07-11,3.8,5.1,chl_daily_median
2014-07-04,10,2014-07-14,3.75,5.1,chl_daily_median
2014-07-04,14,2014-07-18,4.7,5.1,chl_daily_median
2014-07-04,21,2014-07-25,5.6,5.1,chl_daily_median
2014-07-04,28,2014-08-01,5.15,5.1,chl_daily_median
2014-07-04,30,2014-08-03,5.15,5.1,chl_daily_median
2014-07-05,1,2014-07-06,4.8,5.7,chl_daily_median
2014-07-05,2,2014-07-07,3.8,5.7,chl_daily_median
2014-07-05,3,2014-07-08,3.6,5.7,chl_daily_median
2014-07-05,5,2014-07-10,3.7,5.7,chl_daily_median
2014-07-05,7,2014-07-12,4.0,5.7,chl_daily_median
2014-07-05,10,2014-07-15,4.0,5.7,chl_daily_median
2014-07-05,14,2014-07-19,5.4,5.7,chl_daily_median
2014-07-05,21,2014-07-26,5.7,5.7,chl_daily_median
2014-07-05,28,2014-08-02,4.9,5.7,chl_daily_median
2014-07-05,30,2014-08-04,5.45,5.7,chl_daily_median
2014-07-06,1,2014-07-07,3.8,4.8,chl_daily_median
2014-07-06,2,2014-07-08,3.6,4.8,chl_daily_median
2014-07-06,3,2014-07-09,4.1,4.8,chl_daily_median
2014-07-06,5,2014-07-11,3.8,4.8,chl_daily_median
2014-07-06,7,2014-07-13,3.9,4.8,chl_daily_median
2014-07-06,10,2014-07-16,4.25,4.8,chl_daily_median
2014-07-06,14,2014-07-20,5.8,4.8,chl_daily_median
2014-07-06,21,2014-07-27,5.8,4.8,chl_daily_median
2014-07-06,28,2014-08-03,5.15,4.8,chl_daily_median
2014-07-06,30,2014-08-05,5.5,4.8,chl_daily_median
2014-07-07,1,2014-07-08,3.6,3.8,chl_daily_median
