epoch,train_mse_z,val_rmse_chl,val_mae_chl,lr,seconds
1,1.035045,2.388366,1.783309,0.00050000,1.15
2,0.813359,2.526479,1.887361,0.00050000,0.35
3,0.743032,2.355328,1.700619,0.00050000,0.35
4,0.645041,2.566915,1.912679,0.00050000,0.36
5,0.613157,2.420016,1.772591,0.00050000,0.36
6,0.607950,2.430118,1.782709,0.00050000,0.37
7,0.568980,2.414973,1.779600,0.00025000,0.35
8,0.696823,2.390999,1.750471,0.00025000,0.37
9,0.507068,2.472953,1.820026,0.00025000,0.36
10,0.510162,2.405346,1.764957,0.00012500,0.37
11,0.515139,2.428253,1.786229,0.00012500,0.36
