DateTime,SpCondShallow_uS/cm,ODOShallow_mg/L,TempShallow_C,pHShallow,TurbShallow_NTU+,ChlRFUShallow_RFU,n_obs_SpCondShallow_uS/cm,n_obs_ODOShallow_mg/L,n_obs_TempShallow_C,n_obs_pHShallow,n_obs_TurbShallow_NTU+,n_obs_ChlRFUShallow_RFU
2014-06-12,481.5,8.795,17.275,8.54,7.15,2.6,8,8,8,8,8,8
2014-06-13,484.0,8.64,17.125,8.59,7.0,2.5,96,96,96,96,96,96
2014-06-14,487.0,8.285,16.79,8.58,6.1,2.3,96,96,96,96,96,96
2014-06-15,486.0,8.04,15.85,8.49,6.9,2.2,96,96,96,96,96,96
2014-06-16,489.0,7.96,15.6,8.47,6.2,2.2,96,96,96,96,96,96
2014-06-17,494.0,8.23,16.0,8.475000000000001,6.05,2.4,96,96,96,96,96,96
2014-06-18,498.0,8.36,16.76,8.475000000000001,5.5,2.1,96,96,96,96,96,96
2014-06-19,496.0,8.08,16.305,8.4,5.7,2.2,96,96,96,96,96,96
2014-06-20,496.5,8.16,16.29,8.39,5.7,2.6,96,96,96,96,96,96
2014-06-21,500.0,8.92,16.85,8.54,5.6,2.8,96,96,96,96,96,96
2014-06-22,500.0,9.094999999999999,16.83,8.594999999999999,5.7,3.5,96,96,96,96,96,96
2014-06-23,501.0,9.16,17.31,8.675,6.7,3.6500000000000004,96,96,96,96,96,96
2014-06-24,509.0,9.03,17.62,8.66,6.2,3.8,96,96,96,96,96,96
2014-06-25,509.0,9.15,17.82,8.67,5.4,3.5,96,96,96,96,96,96
2014-06-26,519.0,9.09,18.28,8.66,4.9,3.0,96,96,96,96,96,96
2014-06-27,520.0,8.805,18.6,8.65,4.3,3.1,86,86,86,86,86,86
2014-06-28,515.0,9.475000000000001,19.865000000000002,8.76,4.1,3.3,96,96,96,96,96,96
2014-06-29,512.0,9.99,20.025,8.82,4.45,4.1,96,96,96,96,96,96
2014-06-30,515.0,8.405000000000001,19.62,8.69,6.8,4.0,96,96,96,96,96,96
2014-07-01,512.0,8.055,18.795,8.64,6.2,3.7,96,96,96,96,96,96
2014-07-02,516.0,8.45,18.33,8.67,5.6,4.0,96,96,96,96,96,96
2014-07-03,518.0,11.26,19.12,8.95,8.2,4.9,96,96,96,96,96,96
2014-07-04,525.0,9.99,19.39,8.895,6.5,4.65,96,96,96,96,96,96
2014-07-05,527.0,9.805,19.8,8.94,8.0,5.1,96,96,96,96,96,96
2014-07-06,525.0,11.64,21.415,9.11,11.1,5.7,96,96,96,96,96,96
2014-07-07,527.0,10.325,21.695,9.065000000000001,11.2,4.75,96,96,96,96,96,96
2014-07-08,527.0,9.47,21.35,9.01,13.45,3.8,96,96,96,96,96,96
2014-07-09,531.0,8.74,21.0,8.99,13.2,3.6,63,63,63,63,63,63
2014-07-10,521.0,10.825,21.53,9.12,13.850000000000001,4.1,96,96,96,96,96,96
2014-07-11,521.0,10.33,21.85,9.11,13.3,3.7,96,96,96,96,96,96
2014-07-12,523.0,10.094999999999999,22.06,9.12,16.5,3.8,96,96,96,96,96,96
2014-07-13,521.0,9.735,21.855,9.1,15.8,4.0,96,96,96,96,96,96
2014-07-14,528.0,9.575,21.36,9.12,18.8,3.9,96,96,96,96,96,96
2014-07-15,536.0,10.205,21.08,9.18,16.9,3.75,96,96,96,96,95,96
2014-07-16,531.5,9.55,21.3,9.09,12.75,4.0,92,92,92,92,92,92
2014-07-17,551.0,9.485,21.465,9.09,11.3,4.3,96,96,96,96,96,96
2014-07-18,560.0,11.425,22.16,9.18,12.2,4.9,96,96,96,96,96,96
2014-07-19,570.0,7.615,21.16,8.88,10.2,4.7,96,96,96,96,96,96
2014-07-20,572.0,6.99,20.72,8.774999999999999,7.75,5.4,96,96,96,96,96,96
2014-07-21,588.0,8.95,21.11,8.93,10.0,5.8,96,96,96,96,96,96
2014-07-22,585.5,10.11,21.56,8.985,8.75,6.7,96,96,96,96,96,96
2014-07-23,595.0,10.5,21.455,9.03,9.0,6.3,96,96,96,96,96,96
2014-07-24,616.0,7.895,21.76,8.81,6.1,4.9,96,96,96,96,96,96
2014-07-25,617.0,7.67,21.89,8.77,6.9,5.2,96,96,96,96,96,96
2014-07-26,599.0,7.16,21.57,8.7,7.7,5.6,96,96,96,96,96,96
2014-07-27,594.0,7.69,20.47,8.73,7.3,5.7,96,96,96,96,96,96
2014-07-28,616.0,7.955,20.32,8.68,6.05,5.8,96,96,96,96,96,96
2014-07-29,618.0,12.305,21.04,9.085,6.8,6.3,96,96,96,96,96,96
2014-07-30,620.0,14.190000000000001,22.655,9.19,7.6,6.1,92,92,92,92,92,92
2014-07-31,605.0,15.165,23.32,9.19,9.5,5.6,96,96,96,96,96,96
2014-08-01,612.0,9.56,22.36,8.93,6.9,5.2,65,65,65,65,65,65
2014-08-02,642.0,10.26,22.94,8.94,7.15,5.2,96,96,96,96,96,96
2014-08-03,654.5,7.255,22.68,8.64,7.4,4.9,96,96,96,96,96,96
2014-08-04,662.0,7.42,22.715,8.61,6.75,5.2,96,96,96,96,96,96
2014-08-05,659.0,7.93,22.955,8.620000000000001,6.3,5.5,96,96,96,96,96,96
2014-08-06,667.0,8.945,23.37,8.725000000000001,6.0,5.5,96,96,96,96,96,96
2014-08-07,689.0,7.220000000000001,23.11,8.49,5.75,5.3,96,96,96,96,96,96
2014-08-08,685.5,6.01,22.92,8.33,5.4,5.4,96,96,96,96,96,96
2014-08-09,683.0,10.155000000000001,24.16,8.745000000000001,5.5,6.1,96,96,96,96,96,96
2014-08-10,683.0,6.69,23.335,8.39,6.1,5.2,96,96,96,96,96,96
2014-08-11,681.5,6.234999999999999,22.985,8.34,5.0,5.4,96,96,96,96,96,96
2014-08-12,680.5,7.93,22.84,8.56,5.5,6.1,96,96,96,96,96,96
2014-08-13,678.0,10.52,23.17,8.785,5.65,6.0,92,92,92,92,92,92
