epoch,train_loss,train_loss_sup,train_loss_distill,val_rmse_chl,val_mae_chl,val_n_valid,lr,seconds
1,0.894740,1.025509,0.763972,1.701958,1.194854,283417,0.00030000,0.46
2,0.704609,0.834000,0.575217,1.537139,1.085209,283417,0.00030000,0.42
3,0.594756,0.701707,0.487805,1.522136,1.068617,283417,0.00030000,0.36
4,0.586144,0.702357,0.469931,1.553859,1.114000,283417,0.00030000,0.39
5,0.540839,0.655838,0.425840,1.526099,1.063923,283417,0.00030000,0.31
6,0.520182,0.652385,0.387980,1.557833,1.105103,283417,0.00030000,0.38
7,0.507291,0.628455,0.386128,1.552922,1.088889,283417,0.00015000,0.45
8,0.483895,0.615876,0.351915,1.551445,1.080372,283417,0.00015000,0.36
9,0.472840,0.611012,0.334668,1.542416,1.069989,283417,0.00015000,0.38
10,0.456485,0.586599,0.326370,1.600847,1.160480,283417,0.00007500,0.39
11,0.462469,0.595403,0.329535,1.573002,1.124761,283417,0.00007500,0.34
