epoch,train_loss_z,train_loss_name,train_LY,train_LD,train_rho,val_rmse_chl,val_mae_chl,lr,seconds
1,0.000000,mse,nan,nan,nan,1.023666,0.516821,0.00010000,2.95
2,0.000000,mse,nan,nan,nan,1.023666,0.516821,0.00010000,2.65
3,0.000000,mse,nan,nan,nan,1.023666,0.516821,0.00010000,2.97
4,0.165364,mse,nan,nan,nan,1.021552,0.513031,0.00010000,3.12
5,0.000000,mse,nan,nan,nan,1.021552,0.513031,0.00010000,3.35
6,0.000000,mse,nan,nan,nan,1.021552,0.513031,0.00010000,2.83
7,0.000000,mse,nan,nan,nan,1.021552,0.513031,0.00010000,3.15
8,0.000000,mse,nan,nan,nan,1.021552,0.513031,0.00005000,3.26
9,0.142805,mse,nan,nan,nan,1.020373,0.510828,0.00005000,3.25
10,0.000000,mse,nan,nan,nan,1.020373,0.510828,0.00005000,3.09
11,0.000000,mse,nan,nan,nan,1.020373,0.510828,0.00005000,2.74
12,0.000000,mse,nan,nan,nan,1.020373,0.510828,0.00005000,3.06
13,0.000000,mse,nan,nan,nan,1.020373,0.510828,0.00002500,2.95
14,0.000000,mse,nan,nan,nan,1.020373,0.510828,0.00002500,2.81
15,0.000000,mse,nan,nan,nan,1.020373,0.510828,0.00002500,2.99
16,0.136859,mse,nan,nan,nan,1.020072,0.510261,0.00001250,3.02
17,0.136172,mse,nan,nan,nan,1.019790,0.509736,0.00001250,3.11
18,0.104779,mse,nan,nan,nan,1.019511,0.509206,0.00001250,3.23
19,0.000000,mse,nan,nan,nan,1.019511,0.509206,0.00001250,2.98
20,0.000000,mse,nan,nan,nan,1.019511,0.509206,0.00001250,2.78
