epoch,train_mse_z,val_rmse_chl,val_mae_chl,lr,seconds
1,0.225899,0.997338,0.642954,0.00050000,8.89
2,0.129484,0.943182,0.616110,0.00050000,8.15
3,0.104590,0.999983,0.629467,0.00050000,8.69
4,0.091577,0.991626,0.645778,0.00050000,7.61
5,0.085512,0.993749,0.646906,0.00050000,8.75
6,0.071839,0.958949,0.600881,0.00025000,8.49
7,0.068466,0.958282,0.625203,0.00025000,8.80
8,0.067045,0.950229,0.602838,0.00025000,7.90
9,0.057758,0.937135,0.613087,0.00012500,8.58
10,0.055767,0.951357,0.632920,0.00012500,8.18
11,0.056473,0.949450,0.622558,0.00012500,8.79
12,0.054668,0.949018,0.630807,0.00012500,6.55
13,0.050215,0.909647,0.581626,0.00006250,8.78
14,0.049538,0.926308,0.603210,0.00006250,7.98
15,0.049012,0.923463,0.599824,0.00006250,8.96
16,0.047820,0.916073,0.590492,0.00006250,8.74
17,0.046802,0.922694,0.597250,0.00003125,8.73
18,0.046242,0.925423,0.599480,0.00003125,8.13
19,0.045695,0.927811,0.603419,0.00003125,8.85
20,0.044923,0.923119,0.595135,0.00001563,6.40
21,0.044523,0.919772,0.589085,0.00001563,6.88
