epoch,train_mse_z,val_rmse_chl,val_mae_chl,lr,seconds
1,0.233477,1.105457,0.759344,0.00050000,7.20
2,0.123006,1.070811,0.765124,0.00050000,6.56
3,0.105051,1.144334,0.762895,0.00050000,7.22
4,0.096587,1.053571,0.756198,0.00050000,7.13
5,0.087570,1.059353,0.735245,0.00050000,7.01
6,0.086144,0.996478,0.673384,0.00050000,7.22
7,0.077055,1.020579,0.688187,0.00050000,6.70
8,0.077352,1.046768,0.717286,0.00050000,7.28
9,0.074359,1.066995,0.770021,0.00050000,6.95
10,0.060478,1.052299,0.759571,0.00025000,6.43
11,0.057210,0.973888,0.657068,0.00025000,7.07
12,0.055158,1.047414,0.757363,0.00025000,7.17
13,0.055643,1.006249,0.706989,0.00025000,7.31
14,0.053054,0.979101,0.685731,0.00025000,7.36
15,0.047771,0.944188,0.637690,0.00012500,5.76
16,0.045820,0.959717,0.651478,0.00012500,6.39
17,0.045845,0.971909,0.670813,0.00012500,6.89
18,0.044944,0.941569,0.638087,0.00012500,6.03
19,0.045083,0.973919,0.672834,0.00012500,5.67
20,0.044429,1.004109,0.702269,0.00012500,7.37
21,0.043315,0.963506,0.652430,0.00012500,7.29
22,0.040884,0.967199,0.661052,0.00006250,7.10
23,0.039525,0.974020,0.667736,0.00006250,7.26
24,0.039128,0.984074,0.676112,0.00006250,6.41
25,0.038257,0.969747,0.663767,0.00003125,6.64
26,0.037851,0.965430,0.653108,0.00003125,5.39
