year,month,year_month,n_days_required,n_days_with_data,p,coverage,rule_a_pass
2014,7,2014-07,31,31,0.8,1.0,True
2014,8,2014-08,31,26,0.8,0.8387096774193549,True
2015,6,2015-06,30,30,0.8,1.0,True
2015,7,2015-07,31,29,0.8,0.9354838709677419,True
2015,8,2015-08,31,31,0.8,1.0,True
2016,6,2016-06,30,30,0.8,1.0,True
2016,7,2016-07,31,31,0.8,1.0,True
2016,8,2016-08,31,31,0.8,1.0,True
2016,9,2016-09,30,28,0.8,0.9333333333333333,True
2017,6,2017-06,30,30,0.8,1.0,True
2017,7,2017-07,31,31,0.8,1.0,True
2017,8,2017-08,31,31,0.8,1.0,True
2017,9,2017-09,30,30,0.8,1.0,True
2018,6,2018-06,30,30,0.8,1.0,True
2018,7,2018-07,31,31,0.8,1.0,True
2018,8,2018-08,31,29,0.8,0.9354838709677419,True
2018,9,2018-09,30,30,0.8,1.0,True
2019,6,2019-06,30,30,0.8,1.0,True
2019,7,2019-07,31,31,0.8,1.0,True
2019,8,2019-08,31,31,0.8,1.0,True
2019,9,2019-09,30,30,0.8,1.0,True
2020,7,2020-07,31,31,0.8,1.0,True
2020,8,2020-08,31,27,0.8,0.8709677419354839,True
2020,9,2020-09,30,30,0.8,1.0,True
2021,6,2021-06,30,28,0.8,0.9333333333333333,True
2021,7,2021-07,31,31,0.8,1.0,True
2021,8,2021-08,31,31,0.8,1.0,True
2021,9,2021-09,30,30,0.8,1.0,True
