year,month,year_month,n_days_required,n_days_with_data,p,coverage,rule_a_pass
2014,6,2014-06,30,20,0.8,0.6666666666666666,False
2014,7,2014-07,31,31,0.8,1.0,True
2014,8,2014-08,31,26,0.8,0.8387096774193549,True
2014,9,2014-09,30,5,0.8,0.16666666666666666,False
2014,10,2014-10,31,0,0.8,0.0,False
2014,11,2014-11,30,0,0.8,0.0,False
2014,12,2014-12,31,0,0.8,0.0,False
2015,1,2015-01,31,0,0.8,0.0,False
2015,2,2015-02,28,0,0.8,0.0,False
2015,3,2015-03,31,0,0.8,0.0,False
2015,4,2015-04,30,0,0.8,0.0,False
2015,5,2015-05,31,18,0.8,0.5806451612903226,False
2015,6,2015-06,30,30,0.8,1.0,True
2015,7,2015-07,31,29,0.8,0.9354838709677419,True
2015,8,2015-08,31,31,0.8,1.0,True
2015,9,2015-09,30,17,0.8,0.5666666666666667,False
2015,10,2015-10,31,0,0.8,0.0,False
2015,11,2015-11,30,0,0.8,0.0,False
2015,12,2015-12,31,0,0.8,0.0,False
2016,1,2016-01,31,0,0.8,0.0,False
2016,2,2016-02,29,0,0.8,0.0,False
2016,3,2016-03,31,0,0.8,0.0,False
2016,4,2016-04,30,0,0.8,0.0,False
2016,5,2016-05,31,14,0.8,0.45161290322580644,False
2016,6,2016-06,30,30,0.8,1.0,True
2016,7,2016-07,31,31,0.8,1.0,True
2016,8,2016-08,31,31,0.8,1.0,True
2016,9,2016-09,30,28,0.8,0.9333333333333333,True
2016,10,2016-10,31,0,0.8,0.0,False
2016,11,2016-11,30,0,0.8,0.0,False
2016,12,2016-12,31,0,0.8,0.0,False
2017,1,2017-01,31,0,0.8,0.0,False
2017,2,2017-02,28,0,0.8,0.0,False
2017,3,2017-03,31,0,0.8,0.0,False
2017,4,2017-04,30,0,0.8,0.0,False
2017,5,2017-05,31,23,0.8,0.7419354838709677,False
2017,6,2017-06,30,30,0.8,1.0,True
2017,7,2017-07,31,31,0.8,1.0,True
2017,8,2017-08,31,31,0.8,1.0,True
2017,9,2017-09,30,30,0.8,1.0,True
2017,10,2017-10,31,11,0.8,0.3548387096774194,False
2017,11,2017-11,30,0,0.8,0.0,False
2017,12,2017-12,31,0,0.8,0.0,False
2018,1,2018-01,31,0,0.8,0.0,False
2018,2,2018-02,28,0,0.8,0.0,False
2018,3,2018-03,31,0,0.8,0.0,False
2018,4,2018-04,30,0,0.8,0.0,False
2018,5,2018-05,31,3,0.8,0.0967741935483871,False
2018,6,2018-06,30,30,0.8,1.0,True
2018,7,2018-07,31,31,0.8,1.0,True
2018,8,2018-08,31,29,0.8,0.9354838709677419,True
2018,9,2018-09,30,30,0.8,1.0,True
2018,10,2018-10,31,4,0.8,0.12903225806451613,False
2018,11,2018-11,30,0,0.8,0.0,False
2018,12,2018-12,31,0,0.8,0.0,False
2019,1,2019-01,31,0,0.8,0.0,False
2019,2,2019-02,28,0,0.8,0.0,False
2019,3,2019-03,31,0,0.8,0.0,False
2019,4,2019-04,30,0,0.8,0.0,False
2019,5,2019-05,31,3,0.8,0.0967741935483871,False
2019,6,2019-06,30,30,0.8,1.0,True
2019,7,2019-07,31,31,0.8,1.0,True
2019,8,2019-08,31,31,0.8,1.0,True
2019,9,2019-09,30,30,0.8,1.0,True
2019,10,2019-10,31,3,0.8,0.0967741935483871,False
2019,11,2019-11,30,0,0.8,0.0,False
2019,12,2019-12,31,0,0.8,0.0,False
2020,1,2020-01,31,0,0.8,0.0,False
2020,2,2020-02,29,0,0.8,0.0,False
2020,3,2020-03,31,0,0.8,0.0,False
2020,4,2020-04,30,0,0.8,0.0,False
2020,5,2020-05,31,0,0.8,0.0,False
2020,6,2020-06,30,20,0.8,0.6666666666666666,False
2020,7,2020-07,31,31,0.8,1.0,True
2020,8,2020-08,31,27,0.8,0.8709677419354839,True
2020,9,2020-09,30,30,0.8,1.0,True
2020,10,2020-10,31,1,0.8,0.03225806451612903,False
2020,11,2020-11,30,0,0.8,0.0,False
2020,12,2020-12,31,0,0.8,0.0,False
2021,1,2021-01,31,0,0.8,0.0,False
2021,2,2021-02,28,0,0.8,0.0,False
2021,3,2021-03,31,0,0.8,0.0,False
2021,4,2021-04,30,0,0.8,0.0,False
2021,5,2021-05,31,0,0.8,0.0,False
2021,6,2021-06,30,28,0.8,0.9333333333333333,True
2021,7,2021-07,31,31,0.8,1.0,True
2021,8,2021-08,31,31,0.8,1.0,True
2021,9,2021-09,30,30,0.8,1.0,True
2021,10,2021-10,31,7,0.8,0.22580645161290322,False
